;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/12/2023 9:55:01 PM
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Delays.c,15 :: 		void Delay_22us() {
;__Lib_Delays.c,16 :: 		Delay_us(22);
0x0168	0x300E      	MOVLW      14
0x0169	0x1283      	BCF        STATUS, 5
0x016A	0x1303      	BCF        STATUS, 6
0x016B	0x00FD      	MOVWF      R13
L_Delay_22us1:
0x016C	0x0BFD      	DECFSZ     R13, 1
0x016D	0x296C      	GOTO       L_Delay_22us1
0x016E	0x0000      	NOP
;__Lib_Delays.c,17 :: 		}
L_end_Delay_22us:
0x016F	0x0008      	RETURN
; end of _Delay_22us
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x0170	0x1683      	BSF        STATUS, 5
0x0171	0x1303      	BCF        STATUS, 6
0x0172	0x084D      	MOVF       ___DoICPAddr+1, 0
0x0173	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x0174	0x084C      	MOVF       ___DoICPAddr, 0
0x0175	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x0176	0x0008      	RETURN
; end of _____DoICP
_NRM4032:
;__Lib_MathDouble.c,245 :: 		
;__Lib_MathDouble.c,252 :: 		
;__Lib_MathDouble.c,254 :: 		
0x0177	0x187C      	BTFSC      R12, 0
;__Lib_MathDouble.c,255 :: 		
0x0178	0x29AD      	GOTO       NRMRND4032
;__Lib_MathDouble.c,256 :: 		
0x0179	0x18FC      	BTFSC      R12, 1
;__Lib_MathDouble.c,257 :: 		
0x017A	0x297E      	GOTO       NRM4032
;__Lib_MathDouble.c,258 :: 		
0x017B	0x197C      	BTFSC      R12, 2
;__Lib_MathDouble.c,259 :: 		
0x017C	0x29CC      	GOTO       JMPSETFOV32
;__Lib_MathDouble.c,260 :: 		
0x017D	0x2977      	GOTO       $-6
;__Lib_MathDouble.c,261 :: 		
NRM4032:
;__Lib_MathDouble.c,262 :: 		
0x017E	0x01A0      	CLRF       __math_tempbD
;__Lib_MathDouble.c,263 :: 		
0x017F	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,264 :: 		
0x0180	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,265 :: 		
0x0181	0x299E      	GOTO       NORM4032
;__Lib_MathDouble.c,266 :: 		
0x0182	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,267 :: 		
0x0183	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,268 :: 		
0x0184	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,269 :: 		
0x0185	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,270 :: 		
0x0186	0x0878      	MOVF       R8, 0
;__Lib_MathDouble.c,271 :: 		
0x0187	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,272 :: 		
0x0188	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,273 :: 		
0x0189	0x15A0      	BSF        __math_tempbD, 3
;__Lib_MathDouble.c,275 :: 		
0x018A	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,276 :: 		
0x018B	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,277 :: 		
0x018C	0x299E      	GOTO       NORM4032
;__Lib_MathDouble.c,278 :: 		
0x018D	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,279 :: 		
0x018E	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,280 :: 		
0x018F	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,281 :: 		
0x0190	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,282 :: 		
0x0191	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,283 :: 		
0x0192	0x11A0      	BCF        __math_tempbD, 3
;__Lib_MathDouble.c,284 :: 		
0x0193	0x1620      	BSF        __math_tempbD, 4
;__Lib_MathDouble.c,286 :: 		
0x0194	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,287 :: 		
0x0195	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,288 :: 		
0x0196	0x299E      	GOTO       NORM4032
;__Lib_MathDouble.c,289 :: 		
0x0197	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,290 :: 		
0x0198	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,291 :: 		
0x0199	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,292 :: 		
0x019A	0x15A0      	BSF        __math_tempbD, 3
;__Lib_MathDouble.c,294 :: 		
0x019B	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,295 :: 		
0x019C	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,296 :: 		
0x019D	0x29C0      	GOTO       JMPRES032
;__Lib_MathDouble.c,297 :: 		
NORM4032:
;__Lib_MathDouble.c,298 :: 		
0x019E	0x0820      	MOVF       __math_tempbD, 0
;__Lib_MathDouble.c,299 :: 		
0x019F	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,300 :: 		
0x01A0	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,301 :: 		
0x01A1	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,302 :: 		
0x01A2	0x29C4      	GOTO       JMPSETFUN32
;__Lib_MathDouble.c,303 :: 		
0x01A3	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,304 :: 		
NORM4032A:
;__Lib_MathDouble.c,305 :: 		
0x01A4	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,306 :: 		
0x01A5	0x29AD      	GOTO       NRMRND4032
;__Lib_MathDouble.c,307 :: 		
0x01A6	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,308 :: 		
0x01A7	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,309 :: 		
0x01A8	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,310 :: 		
0x01A9	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,311 :: 		
0x01AA	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,312 :: 		
0x01AB	0x29A4      	GOTO       NORM4032A
;__Lib_MathDouble.c,313 :: 		
0x01AC	0x29C4      	GOTO       JMPSETFUN32
;__Lib_MathDouble.c,314 :: 		
NRMRND4032:
;__Lib_MathDouble.c,315 :: 		
0x01AD	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,316 :: 		
0x01AE	0x1C70      	BTFSS      R0, 0
;__Lib_MathDouble.c,317 :: 		
0x01AF	0x29C8      	GOTO       JMPFIXSIGN32
;__Lib_MathDouble.c,318 :: 		
0x01B0	0x1FF8      	BTFSS      R8, 7
;__Lib_MathDouble.c,319 :: 		
0x01B1	0x29C8      	GOTO       JMPFIXSIGN32
;__Lib_MathDouble.c,320 :: 		
0x01B2	0x0AF0      	INCF       R0, 1
;__Lib_MathDouble.c,321 :: 		
0x01B3	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,322 :: 		
0x01B4	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,323 :: 		
0x01B5	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,324 :: 		
0x01B6	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,325 :: 		
0x01B7	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,326 :: 		
0x01B8	0x29C8      	GOTO       JMPFIXSIGN32
;__Lib_MathDouble.c,327 :: 		
0x01B9	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,328 :: 		
0x01BA	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,329 :: 		
0x01BB	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,330 :: 		
0x01BC	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,331 :: 		
0x01BD	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,332 :: 		
0x01BE	0x29CC      	GOTO       JMPSETFOV32
;__Lib_MathDouble.c,333 :: 		
0x01BF	0x29C8      	GOTO       JMPFIXSIGN32
;__Lib_MathDouble.c,334 :: 		
JMPRES032:
;__Lib_MathDouble.c,335 :: 		
0x01C0	0x3001      	MOVLW      1
;__Lib_MathDouble.c,336 :: 		
0x01C1	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,338 :: 		
0x01C2	0x2103      	CALL       _RES032
;__Lib_MathDouble.c,340 :: 		
0x01C3	0x29CF      	GOTO       NRM4032EEE
;__Lib_MathDouble.c,341 :: 		
JMPSETFUN32:
;__Lib_MathDouble.c,342 :: 		
0x01C4	0x3002      	MOVLW      2
;__Lib_MathDouble.c,343 :: 		
0x01C5	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,345 :: 		
0x01C6	0x20F7      	CALL       _SETFUN32
;__Lib_MathDouble.c,347 :: 		
0x01C7	0x29CF      	GOTO       NRM4032EEE
;__Lib_MathDouble.c,348 :: 		
JMPFIXSIGN32:
;__Lib_MathDouble.c,349 :: 		
0x01C8	0x3004      	MOVLW      4
;__Lib_MathDouble.c,350 :: 		
0x01C9	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,352 :: 		
0x01CA	0x20F3      	CALL       _FIXSIGN32
;__Lib_MathDouble.c,354 :: 		
0x01CB	0x29CF      	GOTO       NRM4032EEE
;__Lib_MathDouble.c,355 :: 		
JMPSETFOV32:
;__Lib_MathDouble.c,356 :: 		
0x01CC	0x3008      	MOVLW      8
;__Lib_MathDouble.c,357 :: 		
0x01CD	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,359 :: 		
0x01CE	0x20E7      	CALL       _SETFOV32
;__Lib_MathDouble.c,361 :: 		
NRM4032EEE:
;__Lib_MathDouble.c,362 :: 		
0x01CF	0x0000      	NOP
;__Lib_MathDouble.c,370 :: 		
L_end_NRM4032:
0x01D0	0x0008      	RETURN
; end of _NRM4032
_key:
;MyFinalProject.c,20 :: 		unsigned short key(void)
;MyFinalProject.c,22 :: 		k = 0;
0x01D1	0x1683      	BSF        STATUS, 5
0x01D2	0x1303      	BCF        STATUS, 6
0x01D3	0x01CB      	CLRF       _k
;MyFinalProject.c,23 :: 		do
L_key0:
;MyFinalProject.c,24 :: 		k = Keypad_Key_Click();
0x01D4	0x2150      	CALL       _Keypad_Key_Click
0x01D5	0x0870      	MOVF       R0, 0
0x01D6	0x00CB      	MOVWF      _k
;MyFinalProject.c,25 :: 		while (k==0);
0x01D7	0x0870      	MOVF       R0, 0
0x01D8	0x3A00      	XORLW      0
0x01D9	0x1903      	BTFSC      STATUS, 2
0x01DA	0x29D4      	GOTO       L_key0
;MyFinalProject.c,26 :: 		switch (k)
0x01DB	0x2A00      	GOTO       L_key3
;MyFinalProject.c,28 :: 		case 1: k = 49; break; // 1
L_key5:
0x01DC	0x3031      	MOVLW      49
0x01DD	0x00CB      	MOVWF      _k
0x01DE	0x2A30      	GOTO       L_key4
;MyFinalProject.c,29 :: 		case 2: k = 50; break; // 2
L_key6:
0x01DF	0x3032      	MOVLW      50
0x01E0	0x00CB      	MOVWF      _k
0x01E1	0x2A30      	GOTO       L_key4
;MyFinalProject.c,30 :: 		case 3: k = 51; break; // 3
L_key7:
0x01E2	0x3033      	MOVLW      51
0x01E3	0x00CB      	MOVWF      _k
0x01E4	0x2A30      	GOTO       L_key4
;MyFinalProject.c,31 :: 		case 5: k = 52; break; // 4
L_key8:
0x01E5	0x3034      	MOVLW      52
0x01E6	0x00CB      	MOVWF      _k
0x01E7	0x2A30      	GOTO       L_key4
;MyFinalProject.c,32 :: 		case 6: k = 53; break; // 5
L_key9:
0x01E8	0x3035      	MOVLW      53
0x01E9	0x00CB      	MOVWF      _k
0x01EA	0x2A30      	GOTO       L_key4
;MyFinalProject.c,33 :: 		case 7: k = 54; break; // 6
L_key10:
0x01EB	0x3036      	MOVLW      54
0x01EC	0x00CB      	MOVWF      _k
0x01ED	0x2A30      	GOTO       L_key4
;MyFinalProject.c,34 :: 		case 9: k = 55; break; // 7
L_key11:
0x01EE	0x3037      	MOVLW      55
0x01EF	0x00CB      	MOVWF      _k
0x01F0	0x2A30      	GOTO       L_key4
;MyFinalProject.c,35 :: 		case 10: k = 56; break; // 8
L_key12:
0x01F1	0x3038      	MOVLW      56
0x01F2	0x00CB      	MOVWF      _k
0x01F3	0x2A30      	GOTO       L_key4
;MyFinalProject.c,36 :: 		case 11: k = 57; break; // 9
L_key13:
0x01F4	0x3039      	MOVLW      57
0x01F5	0x00CB      	MOVWF      _k
0x01F6	0x2A30      	GOTO       L_key4
;MyFinalProject.c,37 :: 		case 13: k = 42; break; // *
L_key14:
0x01F7	0x302A      	MOVLW      42
0x01F8	0x00CB      	MOVWF      _k
0x01F9	0x2A30      	GOTO       L_key4
;MyFinalProject.c,38 :: 		case 14: k = 48; break; // 0
L_key15:
0x01FA	0x3030      	MOVLW      48
0x01FB	0x00CB      	MOVWF      _k
0x01FC	0x2A30      	GOTO       L_key4
;MyFinalProject.c,39 :: 		case 15: k = 35; break; // #
L_key16:
0x01FD	0x3023      	MOVLW      35
0x01FE	0x00CB      	MOVWF      _k
0x01FF	0x2A30      	GOTO       L_key4
;MyFinalProject.c,40 :: 		}
L_key3:
0x0200	0x084B      	MOVF       _k, 0
0x0201	0x3A01      	XORLW      1
0x0202	0x1903      	BTFSC      STATUS, 2
0x0203	0x29DC      	GOTO       L_key5
0x0204	0x084B      	MOVF       _k, 0
0x0205	0x3A02      	XORLW      2
0x0206	0x1903      	BTFSC      STATUS, 2
0x0207	0x29DF      	GOTO       L_key6
0x0208	0x084B      	MOVF       _k, 0
0x0209	0x3A03      	XORLW      3
0x020A	0x1903      	BTFSC      STATUS, 2
0x020B	0x29E2      	GOTO       L_key7
0x020C	0x084B      	MOVF       _k, 0
0x020D	0x3A05      	XORLW      5
0x020E	0x1903      	BTFSC      STATUS, 2
0x020F	0x29E5      	GOTO       L_key8
0x0210	0x084B      	MOVF       _k, 0
0x0211	0x3A06      	XORLW      6
0x0212	0x1903      	BTFSC      STATUS, 2
0x0213	0x29E8      	GOTO       L_key9
0x0214	0x084B      	MOVF       _k, 0
0x0215	0x3A07      	XORLW      7
0x0216	0x1903      	BTFSC      STATUS, 2
0x0217	0x29EB      	GOTO       L_key10
0x0218	0x084B      	MOVF       _k, 0
0x0219	0x3A09      	XORLW      9
0x021A	0x1903      	BTFSC      STATUS, 2
0x021B	0x29EE      	GOTO       L_key11
0x021C	0x084B      	MOVF       _k, 0
0x021D	0x3A0A      	XORLW      10
0x021E	0x1903      	BTFSC      STATUS, 2
0x021F	0x29F1      	GOTO       L_key12
0x0220	0x084B      	MOVF       _k, 0
0x0221	0x3A0B      	XORLW      11
0x0222	0x1903      	BTFSC      STATUS, 2
0x0223	0x29F4      	GOTO       L_key13
0x0224	0x084B      	MOVF       _k, 0
0x0225	0x3A0D      	XORLW      13
0x0226	0x1903      	BTFSC      STATUS, 2
0x0227	0x29F7      	GOTO       L_key14
0x0228	0x084B      	MOVF       _k, 0
0x0229	0x3A0E      	XORLW      14
0x022A	0x1903      	BTFSC      STATUS, 2
0x022B	0x29FA      	GOTO       L_key15
0x022C	0x084B      	MOVF       _k, 0
0x022D	0x3A0F      	XORLW      15
0x022E	0x1903      	BTFSC      STATUS, 2
0x022F	0x29FD      	GOTO       L_key16
L_key4:
;MyFinalProject.c,41 :: 		return k ;
0x0230	0x084B      	MOVF       _k, 0
0x0231	0x00F0      	MOVWF      R0
;MyFinalProject.c,42 :: 		}
L_end_key:
0x0232	0x0008      	RETURN
; end of _key
_byte2double:
;__Lib_MathDouble.c,1778 :: 		
;__Lib_MathDouble.c,1785 :: 		
0x0233	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,1786 :: 		
0x0234	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,1788 :: 		
0x0235	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,1789 :: 		
0x0236	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,1791 :: 		
0x0237	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,1792 :: 		
0x0238	0x01FC      	CLRF       R12
;__Lib_MathDouble.c,1794 :: 		
0x0239	0x309E      	MOVLW      158
;__Lib_MathDouble.c,1795 :: 		
0x023A	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1796 :: 		
0x023B	0x01FA      	CLRF       R10
;__Lib_MathDouble.c,1797 :: 		
0x023C	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1798 :: 		
0x023D	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1799 :: 		
0x023E	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,1800 :: 		
0x023F	0x3002      	MOVLW      2
;__Lib_MathDouble.c,1801 :: 		
0x0240	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1803 :: 		
0x0241	0x2177      	CALL       _NRM4032
;__Lib_MathDouble.c,1804 :: 		
L_end_byte2double:
0x0242	0x0008      	RETURN
; end of _byte2double
_Mul_32x32_FP:
;__Lib_MathDouble.c,610 :: 		
;__Lib_MathDouble.c,622 :: 		
;__Lib_MathDouble.c,624 :: 		
0x0243	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,625 :: 		
0x0244	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,627 :: 		
0x0245	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,628 :: 		
0x0246	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,629 :: 		
0x0247	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,630 :: 		
0x0248	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,631 :: 		
0x0249	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,632 :: 		
0x024A	0x2A9A      	GOTO       JPMRES032
;__Lib_MathDouble.c,634 :: 		
0x024B	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,635 :: 		
0x024C	0x0676      	XORWF      R6, 0
;__Lib_MathDouble.c,636 :: 		
0x024D	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,637 :: 		
0x024E	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,638 :: 		
0x024F	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,639 :: 		
0x0250	0x307E      	MOVLW      126
;__Lib_MathDouble.c,640 :: 		
0x0251	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,641 :: 		
0x0252	0x2A57      	GOTO       MTUN32
;__Lib_MathDouble.c,642 :: 		
0x0253	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,643 :: 		
0x0254	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,644 :: 		
0x0255	0x2A9D      	GOTO       JPMSETFOV32
;__Lib_MathDouble.c,645 :: 		
0x0256	0x2A5A      	GOTO       MOK32
;__Lib_MathDouble.c,646 :: 		
MTUN32:
;__Lib_MathDouble.c,647 :: 		
0x0257	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,648 :: 		
0x0258	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,649 :: 		
0x0259	0x2AA0      	GOTO       JPMSETFUN32
;__Lib_MathDouble.c,650 :: 		
MOK32:
;__Lib_MathDouble.c,651 :: 		
0x025A	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,652 :: 		
0x025B	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,653 :: 		
0x025C	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,654 :: 		
0x025D	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,655 :: 		
0x025E	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,656 :: 		
0x025F	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,657 :: 		
0x0260	0x17F8      	BSF        R8, 7
;__Lib_MathDouble.c,658 :: 		
0x0261	0x17F6      	BSF        R6, 7
;__Lib_MathDouble.c,659 :: 		
0x0262	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,660 :: 		
0x0263	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,661 :: 		
0x0264	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,662 :: 		
0x0265	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,663 :: 		
0x0266	0x3018      	MOVLW      24
;__Lib_MathDouble.c,664 :: 		
0x0267	0x00A0      	MOVWF      __math_tempbD
;__Lib_MathDouble.c,665 :: 		
MLOOP32:
;__Lib_MathDouble.c,666 :: 		
0x0268	0x1C7D      	BTFSS      R13, 0
;__Lib_MathDouble.c,667 :: 		
0x0269	0x2A74      	GOTO       MNOADD32
;__Lib_MathDouble.c,669 :: 		
0x026A	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,670 :: 		
0x026B	0x07F0      	ADDWF      R0, 1
;__Lib_MathDouble.c,671 :: 		
0x026C	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,672 :: 		
0x026D	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,673 :: 		
0x026E	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,674 :: 		
0x026F	0x07F1      	ADDWF      R1, 1
;__Lib_MathDouble.c,675 :: 		
0x0270	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,676 :: 		
0x0271	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,677 :: 		
0x0272	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,678 :: 		
0x0273	0x07F2      	ADDWF      R2, 1
;__Lib_MathDouble.c,679 :: 		
MNOADD32:
;__Lib_MathDouble.c,680 :: 		
0x0274	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,681 :: 		
0x0275	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,682 :: 		
0x0276	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,683 :: 		
0x0277	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,684 :: 		
0x0278	0x0CFC      	RRF        R12, 1
;__Lib_MathDouble.c,685 :: 		
0x0279	0x0CFD      	RRF        R13, 1
;__Lib_MathDouble.c,686 :: 		
0x027A	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,687 :: 		
0x027B	0x0BA0      	DECFSZ     __math_tempbD, 1
;__Lib_MathDouble.c,688 :: 		
0x027C	0x2A68      	GOTO       MLOOP32
;__Lib_MathDouble.c,689 :: 		
0x027D	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,690 :: 		
0x027E	0x2A84      	GOTO       MROUND32
;__Lib_MathDouble.c,691 :: 		
0x027F	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,692 :: 		
0x0280	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,693 :: 		
0x0281	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,694 :: 		
0x0282	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,695 :: 		
0x0283	0x03F3      	DECF       R3, 1
;__Lib_MathDouble.c,696 :: 		
MROUND32:
;__Lib_MathDouble.c,697 :: 		
0x0284	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,698 :: 		
0x0285	0x1C70      	BTFSS      R0, 0
;__Lib_MathDouble.c,699 :: 		
0x0286	0x2A96      	GOTO       MUL32OK
;__Lib_MathDouble.c,700 :: 		
0x0287	0x1FF8      	BTFSS      R8, 7
;__Lib_MathDouble.c,701 :: 		
0x0288	0x2A96      	GOTO       MUL32OK
;__Lib_MathDouble.c,702 :: 		
0x0289	0x0AF0      	INCF       R0, 1
;__Lib_MathDouble.c,703 :: 		
0x028A	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,704 :: 		
0x028B	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,705 :: 		
0x028C	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,706 :: 		
0x028D	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,707 :: 		
0x028E	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,708 :: 		
0x028F	0x2A96      	GOTO       MUL32OK
;__Lib_MathDouble.c,709 :: 		
0x0290	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,710 :: 		
0x0291	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,711 :: 		
0x0292	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,712 :: 		
0x0293	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,713 :: 		
0x0294	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,714 :: 		
0x0295	0x2A9D      	GOTO       JPMSETFOV32
;__Lib_MathDouble.c,715 :: 		
MUL32OK:
;__Lib_MathDouble.c,716 :: 		
0x0296	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,717 :: 		
0x0297	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,718 :: 		
0x0298	0x3000      	MOVLW      0
;__Lib_MathDouble.c,720 :: 		
0x0299	0x2AA2      	GOTO       MUL32EEE
;__Lib_MathDouble.c,721 :: 		
JPMRES032:
;__Lib_MathDouble.c,722 :: 		
0x029A	0x3001      	MOVLW      1
;__Lib_MathDouble.c,725 :: 		
0x029B	0x2103      	CALL       _RES032
;__Lib_MathDouble.c,727 :: 		
0x029C	0x2AA2      	GOTO       MUL32EEE
;__Lib_MathDouble.c,728 :: 		
JPMSETFOV32:
;__Lib_MathDouble.c,729 :: 		
0x029D	0x3002      	MOVLW      2
;__Lib_MathDouble.c,732 :: 		
0x029E	0x20E7      	CALL       _SETFOV32
;__Lib_MathDouble.c,734 :: 		
0x029F	0x2AA2      	GOTO       MUL32EEE
;__Lib_MathDouble.c,735 :: 		
JPMSETFUN32:
;__Lib_MathDouble.c,736 :: 		
0x02A0	0x3004      	MOVLW      4
;__Lib_MathDouble.c,739 :: 		
0x02A1	0x20F7      	CALL       _SETFUN32
;__Lib_MathDouble.c,741 :: 		
MUL32EEE:
;__Lib_MathDouble.c,742 :: 		
0x02A2	0x0000      	NOP
;__Lib_MathDouble.c,749 :: 		
L_end_Mul_32x32_FP:
0x02A3	0x0008      	RETURN
; end of _Mul_32x32_FP
_double2byte:
;__Lib_MathDouble.c,1670 :: 		
;__Lib_MathDouble.c,1677 :: 		
0x02A4	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,1678 :: 		
0x02A5	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,1680 :: 		
0x02A6	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,1681 :: 		
0x02A7	0x01FC      	CLRF       R12
;__Lib_MathDouble.c,1682 :: 		
0x02A8	0x01FA      	CLRF       R10
;__Lib_MathDouble.c,1684 :: 		
0x02A9	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1685 :: 		
0x02AA	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1686 :: 		
0x02AB	0x2AD1      	GOTO       IRES008
;__Lib_MathDouble.c,1688 :: 		
0x02AC	0x13FA      	BCF        R10, 7
;__Lib_MathDouble.c,1689 :: 		
0x02AD	0x17F2      	BSF        R2, 7
;__Lib_MathDouble.c,1691 :: 		
0x02AE	0x3086      	MOVLW      134
;__Lib_MathDouble.c,1692 :: 		
0x02AF	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,1693 :: 		
0x02B0	0x1BF3      	BTFSC      R3, 7
;__Lib_MathDouble.c,1694 :: 		
0x02B1	0x2AB5      	GOTO       SETEXP08
;__Lib_MathDouble.c,1695 :: 		
0x02B2	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1696 :: 		
